username,display_name,profile_picture,bio,follow_status,scraped_at
@xyocly,Satyaaaaa,https://pbs.twimg.com/profile_images/2064556188474441728/gQ4bri1C_normal.jpg,,Follow,2026-07-20T18:15:11.220293
@Jinx437,Jinx!~,https://pbs.twimg.com/profile_images/2055859087347482624/LW8Z26eX_normal.jpg,,Follow,2026-07-20T18:15:11.341583
@AnushkaMohole,Anushka Mohole,https://pbs.twimg.com/profile_images/2028164891488731136/3A3h6vAK_normal.png,,Follow,2026-07-20T18:15:11.448564
@Ssimple_person,Poetic_penguin,https://pbs.twimg.com/profile_images/1947246558220800000/LAolD6cM_normal.jpg,,Follow,2026-07-20T18:15:11.548970
@gouravasija24,gourav asija,https://pbs.twimg.com/profile_images/2042890185554485248/NRE9ks2q_normal.jpg,,Follow,2026-07-20T18:15:11.663832
@unfiltered_ajit,Ajit Gupta,https://pbs.twimg.com/profile_images/1989908772916269058/d7GtbPAv_normal.jpg,,Follow,2026-07-20T18:15:11.804868
@snorlaxlr,snorlax(Taylor's Version),https://pbs.twimg.com/profile_images/2048364226864193536/RVaQA_d__normal.jpg,,Follow,2026-07-20T18:15:11.941035
@0xTrustLine,TrustLine,https://pbs.twimg.com/profile_images/2071552821418446849/YOZNnkQq_normal.jpg,,Follow,2026-07-20T18:16:25.847195
@drrrrrrrr186,Dr. Bartanwala,https://pbs.twimg.com/profile_images/2062227997541933056/REFqpKdl_normal.jpg,,Follow,2026-07-20T18:16:26.015743
@halwaii_,Halwai,https://pbs.twimg.com/profile_images/2019507291121414147/iCgxIBSY_normal.jpg,,Follow,2026-07-20T18:16:26.148623
@404not_utkarsh,Utkarsh,https://pbs.twimg.com/profile_images/2061783945998643200/ZhQJX7TK_normal.jpg,,Follow,2026-07-20T18:16:27.257012
@hellyeah_ai,Hellyeah.ai,https://pbs.twimg.com/profile_images/2065891010803290112/lxpQLByh_normal.jpg,,Follow,2026-07-20T18:16:27.698366
@sweetchiligurl,Sophie,https://pbs.twimg.com/profile_images/2049817027632918528/HS1nQA2__normal.jpg,,Follow,2026-07-20T18:16:27.905792
@nibbletonbuilds,nibbleton,https://pbs.twimg.com/profile_images/1918560485168881665/8wpdM2ct_normal.jpg,,Follow,2026-07-20T18:16:27.999008
@AnushkaDesign,Anushka,https://pbs.twimg.com/profile_images/2034554213796360192/XtWXNotU_normal.jpg,,Follow,2026-07-20T18:16:28.091601
@karmpluswin,Karmjeet Chauhan,https://pbs.twimg.com/profile_images/2078570340914286592/0j2c-dAQ_normal.jpg,,Follow,2026-07-20T18:16:28.178204
@_ishitaofficial,Ishita,https://pbs.twimg.com/profile_images/2042083472450498560/wfTNgkDA_normal.jpg,,Follow,2026-07-20T18:16:28.260229
@dracuxan,𝔪𝔞𝔫𝔦𝔞𝔠,https://pbs.twimg.com/profile_images/2065955213933203456/UfltSKMl_normal.jpg,,Follow,2026-07-20T18:16:28.355905
@sanketghatte23,Sanket,https://pbs.twimg.com/profile_images/2058168562548875264/kN3KKRpa_normal.jpg,,Follow,2026-07-20T18:16:28.463315
