,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
2629,Pole To Win,"Promotions, Job Security, Salary",,3.2,419,2k,61,5,Gaming | Bengaluru +9 other locations,NA
2630,Capital Trust,"Job Security, Company Culture, Work Satisfaction",,3.3,419,873,23,2,NBFC | New Delhi +124 other locations,NA
2631,Spice Money,"Company Culture, Work Life Balance, Skill Development",,4.1,419,1.5k,35,4,FinTech | Noida +109 other locations,NA
2632,Secure Value,"Promotions, Job Security, Salary",,3.3,418,901,20,--,IT Services & Consulting | Mumbai +83 other locations,NA
2633,Metrochem Api,"Promotions, Salary, Company Culture",,3.1,418,1.9k,35,8,Pharma | Hyderabad +13 other locations,NA
2634,Nidec Corporation,"Promotions, Skill Development",,3.6,418,1.7k,27,8,Electronics Manufacturing | Neemrana +27 other locations,NA
2635,Medica Superspecialty Hospital,"Promotions, Salary",,3.8,418,1.5k,20,149,Healthcare | Kolkata +18 other locations,NA
2636,Astra Microwave Products,"Job Security, Work Life Balance, Skill Development","Salary, Promotions",3.9,419,2.1k,32,5,Defence & Aerospace | Hyderabad +15 other locations,NA
2637,Ensono,"Company Culture, Work Life Balance, Salary",,4.1,418,2.5k,31,55,IT Services & Consulting | Pune +10 other locations,NA
2638,MyMoneyMantra,"Promotions, Job Security, Salary",,3.1,418,1.8k,15,--,Internet | New Delhi +28 other locations,NA
2639,Nowfloats Technologies,"Promotions, Job Security, Work Satisfaction",,3.6,418,1.1k,23,--,Software Product | Hyderabad +40 other locations,NA
2640,Uniparts Group,"Promotions, Company Culture, Job Security",,3.6,418,1.5k,22,2,Industrial Machinery | Noida +14 other locations,NA
2641,Imarticus Learning,"Salary, Company Culture, Work Life Balance",,4.0,418,1.2k,31,7,EdTech | Mumbai +24 other locations,NA
2642,National Bulk Handling Corporation,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,417,1.1k,22,9,Agriculture | Mumbai +76 other locations,NA
2643,Franchise India Brands,"Job Security, Company Culture, Promotions",,2.9,417,1.4k,42,7,Marketing & Advertising | New Delhi +30 other locations,NA
2644,Novartis Healthcare,"Work Life Balance, Company Culture, Salary",Promotions,4.1,418,3.1k,22,4,Pharma | Hyderabad +25 other locations,NA
2645,India Nippon Electricals,"Job Security, Skill Development",Promotions,3.8,417,1.6k,23,4,Electrical Equipment | Hosur +27 other locations,NA
2646,myGate,"Job Security, Work Life Balance, Work Satisfaction",,2.9,417,2.3k,33,3,Law Enforcement & Security | Bengaluru +21 other locations,NA
2647,CogentHubCX.AI,"Company Culture, Promotions, Job Security",,3.2,417,864,35,23,BPO | Kolkata +9 other locations,NA
2648,Tagros Chemicals,"Promotions, Company Culture, Job Security",,3.6,417,1.8k,40,14,Agro Chemicals | Cuddalore +12 other locations,NA
2649,Oberoi Realty,"Work Life Balance, Company Culture, Salary",,4.3,416,2k,21,13,Real Estate | Mumbai +11 other locations,NA
2650,Pon Pure Chemical,"Promotions, Salary, Company Culture",,3.5,416,1.5k,24,13,Chemicals | Chennai +42 other locations,NA
2651,ArisGlobal,"Job Security, Company Culture, Promotions",,2.8,416,2.9k,42,3,IT Services & Consulting | Bengaluru +9 other locations,NA
2652,Zealous Services,"Salary, Job Security, Promotions",,2.7,416,1.1k,22,--,Design | Chennai +9 other locations,NA
2653,SirionLabs,"Salary, Company Culture, Work Life Balance",,3.8,432,1.9k,29,6,Software Product | Gurugram +6 other locations,NA
2654,Group Bayport,"Job Security, Salary, Company Culture",,4.2,417,1.1k,37,6,Printing & Publishing | Ahmedabad +6 other locations,NA
2655,Aka Logistics,"Promotions, Company Culture, Work Satisfaction",,3.2,415,1.4k,39,7,Logistics | Kolkata +39 other locations,NA
2656,Odessa,Company Culture,"Skill Development, Work Satisfaction, Promotions",3.6,415,2.4k,46,--,Software Product | Bengaluru +3 other locations,NA
2657,Samsonite,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.0,415,1.4k,17,3,Retail | Nashik +61 other locations,NA
2658,Qwik Supply Chain,"Work Life Balance, Skill Development",Promotions,3.9,416,1k,28,--,Mumbai +142 other locations,NA
2659,TCL,"Company Culture, Work Life Balance, Skill Development",Promotions,4.1,415,2k,46,--,Consumer Electronics & Appliances | Tirupati +52 other locations,NA
2660,Aizant Drug Research Solutions,"Work Life Balance, Skill Development, Company Culture","Promotions, Salary",3.9,415,1.3k,20,11,Clinical Research | Hyderabad +4 other locations,NA
2661,Shyam Sel & Power,Promotions,,3.7,415,1.4k,57,--,Electronics Manufacturing | Kolkata +24 other locations,NA
2662,Dodsal Engineering & Construction,"Work Satisfaction, Skill Development, Company Culture",,4.5,414,684,16,--,Engineering & Construction | Mumbai +35 other locations,NA
2663,Roca Bathroom Products,"Promotions, Work Satisfaction, Company Culture",,3.7,414,1.4k,23,1,Building Material | Chennai +58 other locations,NA
2664,Venus Remedies,"Company Culture, Work Satisfaction, Salary",,4.2,414,1k,42,41,Pharma | Baddi +39 other locations,NA
2665,TTK Healthcare,"Company Culture, Work Life Balance, Job Security",Promotions,4.1,414,1.3k,18,13,Medical Equipment | Chennai +78 other locations,NA
2666,Havmor Ice Cream,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,413,1.3k,30,--,Food Processing | Ahmedabad +71 other locations,NA
2667,Saama Technologies,"Promotions, Job Security, Work Satisfaction",,3.6,414,3.7k,60,12,IT Services & Consulting | Pune +6 other locations,NA
2668,Magus Customer Dialog,"Promotions, Salary, Work Life Balance",,3.7,413,791,12,3,BPO | Hyderabad +18 other locations,NA
2669,Essar Group,Work Life Balance,"Promotions, Work Satisfaction, Skill Development",3.7,413,1.8k,33,--,Engineering & Construction | Mumbai +45 other locations,NA
2670,Sagar Cements,"Job Security, Work Life Balance, Company Culture",,4.3,413,1.4k,39,--,Building Material | Hyderabad +44 other locations,NA
2671,Rama Medical College Hospital & Research Centre,Work Life Balance,Job Security,3.8,414,1.2k,39,--,Healthcare | Kanpur +20 other locations,NA
2672,Aramex,"Promotions, Work Satisfaction, Company Culture",,3.2,412,1.2k,27,--,Logistics | Mumbai +52 other locations,NA
2673,Spoton Logistics,"Company Culture, Work Life Balance, Job Security",,4.4,412,1.1k,18,--,Logistics | Bengaluru +71 other locations,NA
2674,Buhler,Work Life Balance,"Promotions, Salary",3.8,412,1.9k,33,--,Industrial Machinery | Bengaluru +28 other locations,NA
2675,ANR Software Private Limited,"Job Security, Skill Development, Company Culture",,4.0,413,1.1k,37,16,IT Services & Consulting | Noida +5 other locations,NA
2676,DataMetica,"Work Life Balance, Promotions, Company Culture",,3.2,412,2.8k,49,30,IT Services & Consulting | Pune +7 other locations,NA
2677,Bangalore International Airport,"Job Security, Company Culture, Work Life Balance",,4.3,412,1.6k,35,6,Aviation | Bengaluru +15 other locations,NA
2678,The Belgian Waffle co,"Company Culture, Work Life Balance, Work Satisfaction",,4.5,412,717,58,1,Hospitality | Mumbai +28 other locations,NA
2679,Motilal Oswal Private Wealth Management,"Skill Development, Company Culture, Work Life Balance",,4.5,411,272,83,--,Financial Services | Mumbai +26 other locations,NA
2680,Universal Corporation,"Promotions, Company Culture, Work Satisfaction",,3.7,411,1.4k,22,3,Consumer Electronics & Appliances | Kolkata +64 other locations,NA
2681,Apex Laboratories,"Job Security, Work Life Balance","Salary, Promotions, Skill Development",3.9,411,1.9k,26,4,Pharma | Chennai +61 other locations,NA
2682,Owens Corning,Job Security,"Promotions, Work Satisfaction, Salary",3.6,411,1.8k,21,1,Building Material | Mumbai +13 other locations,NA
2683,PC Jewellers,Job Security,"Promotions, Salary",3.7,411,943,25,4,Metals & Mining | New Delhi +73 other locations,NA
2684,Samsung SDS,"Skill Development, Company Culture, Work Satisfaction",,3.0,411,2.8k,31,--,IT Services & Consulting | Gurugram +22 other locations,NA
