,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
560,DIVI'S Laboratories,Salary,"Promotions, Company Culture, Work Satisfaction",3.6,1.8k,6.9k,103,--,Pharma | Visakhapatnam +38 other locations,NA
561,Digit Insurance,Promotions,,3.7,1.8k,6k,233,72,Insurance | Bengaluru +90 other locations,NA
562,Innovsource Services,Work Life Balance,Promotions,3.9,1.8k,4.5k,79,--,Recruitment | Mumbai +252 other locations,NA
563,Hindustan Petroleum,"Company Culture, Work Life Balance, Skill Development",,4.2,1.8k,6k,118,--,Oil & Gas | Mumbai +259 other locations,NA
564,MetLife,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,1.8k,9.4k,102,92,Insurance | Noida +44 other locations,NA
565,Cafe Coffee Day,"Promotions, Salary, Company Culture",,3.7,1.8k,3.8k,84,8,Hospitality | Bengaluru +104 other locations,NA
566,Stellar Migration,"Company Culture, Work Life Balance, Work Satisfaction",,1.3,1.8k,2,2,--,Other | Dubai +7 other locations,NA
567,SS&C TECHNOLOGIES,"Promotions, Salary, Company Culture",,3.2,1.8k,13.5k,199,123,IT Services & Consulting | Mumbai +29 other locations,NA
568,Adani Green Energy,"Salary, Skill Development",Promotions,3.9,1.8k,6k,161,1,Power | Ahmedabad +116 other locations,NA
569,Isgec Heavy Engineering,Job Security,"Promotions, Company Culture, Work Satisfaction",3.8,1.8k,7k,147,67,Engineering & Construction | Noida +94 other locations,NA
570,Reckitt Benckiser,"Work Life Balance, Salary",Promotions,4.0,1.8k,6.4k,107,61,FMCG | Gurugram +137 other locations,NA
571,Tata Communications Transformation Services,Work Life Balance,"Promotions, Salary",3.8,1.8k,8.4k,101,--,Telecom | Pune +95 other locations,NA
572,LivSpace,"Promotions, Work Satisfaction, Job Security",,3.3,1.8k,8.3k,170,148,Architecture & Interior Design | Bengaluru +53 other locations,NA
573,USHA International,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,1.8k,4.8k,115,16,Consumer Electronics & Appliances | Gurugram +149 other locations,NA
574,Air India,"Promotions, Company Culture, Work Satisfaction",,3.4,1.8k,8k,221,16,Aviation | New Delhi +67 other locations,NA
575,USV,"Company Culture, Work Life Balance, Job Security",,4.0,1.7k,5.8k,88,111,Pharma | Mumbai +107 other locations,NA
576,Kalyan Jewellers,"Salary, Company Culture, Work Life Balance",,4.4,1.7k,1.6k,81,17,Jewellery | Thrissur +159 other locations,NA
577,Orchids International School,Skill Development,,3.9,1.7k,3.9k,374,20,Education & Training | Bengaluru +35 other locations,NA
578,Rungta Mines,"Salary, Work Life Balance, Job Security",,4.0,1.7k,5.6k,190,1,Metals & Mining | Chaibasa +58 other locations,NA
579,HDFC Securities,"Promotions, Work Satisfaction, Company Culture",,3.4,1.7k,6k,128,55,Financial Services | Mumbai +185 other locations,NA
580,BT Business,"Work Life Balance, Company Culture, Job Security",Promotions,3.9,1.7k,9.3k,90,5,Telecom | Gurugram +13 other locations,NA
581,Security and Intelligence Services (India),"Work Life Balance, Job Security, Company Culture",,4.0,1.7k,4.5k,83,32,Law Enforcement & Security | New Delhi +194 other locations,NA
582,Pine Labs,"Promotions, Work Satisfaction, Job Security",,3.3,1.7k,7.5k,137,5,FinTech | Noida +120 other locations,NA
583,XBP Global,"Promotions, Skill Development, Salary",,3.2,1.7k,7.7k,103,67,Internet | Chennai +23 other locations,NA
584,Annapurna Finance,Salary,Promotions,3.8,1.7k,3.8k,85,3,NBFC | Bhubaneswar +401 other locations,NA
585,Vedantu,"Job Security, Promotions, Work Satisfaction",,3.3,1.7k,8.1k,201,14,EdTech | Bengaluru +73 other locations,NA
586,Future Retail,"Company Culture, Skill Development, Work Life Balance",,4.4,1.7k,3.8k,58,--,Retail | Mumbai +197 other locations,NA
587,Dhani Loans and Services,Work Life Balance,"Promotions, Job Security",3.9,1.7k,4.1k,70,23,NBFC | Gurugram +185 other locations,NA
588,BVG India,"Work Life Balance, Company Culture, Work Satisfaction",,4.2,1.7k,4k,172,146,Facility Management Services | Pune +137 other locations,NA
589,Bata,"Promotions, Company Culture, Work Life Balance",,3.5,1.7k,4.2k,87,11,Fashion & Textile | Gurugram +149 other locations,NA
590,Granules India Limited,"Promotions, Work Satisfaction, Skill Development",,3.8,1.7k,6.4k,85,11,Pharma | Hyderabad +22 other locations,NA
591,Metro Cash & Carry,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,1.7k,4.9k,77,4,Retail | Bengaluru +89 other locations,NA
592,Mother Dairy Fruit & Vegetable,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,1.7k,5k,105,4,Food Processing | New Delhi +129 other locations,NA
593,Orange Business,"Work Life Balance, Company Culture, Job Security",Promotions,4.1,1.7k,9.1k,120,3,IT Services & Consulting | Gurugram +52 other locations,NA
594,Hitachi Astemo,"Company Culture, Work Life Balance, Job Security",Promotions,4.1,1.7k,6.5k,140,--,Auto Components | Neemrana +53 other locations,NA
595,TTEC India,Company Culture,"Promotions, Salary, Skill Development",3.7,1.7k,5.5k,193,11,BPO | Ahmedabad +34 other locations,NA
596,Cushman & Wakefield,"Company Culture, Work Life Balance, Job Security",Promotions,4.1,1.7k,6.6k,123,155,Real Estate | Gurugram +44 other locations,NA
597,FactSet,"Work Life Balance, Company Culture, Job Security","Promotions, Skill Development, Salary",3.7,1.7k,10.7k,233,16,Analytics & KPO | Hyderabad +16 other locations,NA
598,NEC,"Work Life Balance, Company Culture, Work Satisfaction",,4.0,1.7k,5.5k,80,8,IT Services & Consulting | Noida +54 other locations,NA
599,Medanta the Medicity,"Job Security, Skill Development, Company Culture",Promotions,4.0,1.7k,5.1k,131,100,Healthcare | Gurugram +50 other locations,NA
600,HighRadius,"Job Security, Company Culture, Work Satisfaction",,2.5,1.7k,9.1k,214,66,Software Product | Hyderabad +15 other locations,NA
601,Caterpillar Inc,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.1,1.7k,11.3k,209,265,Industrial Machinery | Chennai +43 other locations,NA
602,Indian Navy,"Job Security, Skill Development, Company Culture",,4.6,1.7k,3.4k,39,--,Defence & Aerospace | Mumbai +75 other locations,NA
603,Sysnet Global Technologies,"Promotions, Salary",,3.7,1.7k,4.3k,142,4,IT Services & Consulting | New Delhi +154 other locations,NA
604,Health Care Global Enterprises,"Company Culture, Work Life Balance, Job Security",,4.4,1.7k,2.8k,175,134,Healthcare | Bengaluru +53 other locations,NA
605,IIFL SAMASTA,Promotions,,3.7,1.7k,3.2k,84,3,NBFC | Bengaluru +410 other locations,NA
606,Cavinkare,"Salary, Company Culture, Skill Development",,3.9,1.7k,5k,72,16,FMCG | Chennai +172 other locations,NA
607,Frankfinn Institute of Air Hostess Training,"Company Culture, Work Life Balance, Salary",,3.9,1.7k,3.2k,127,81,Education & Training | Gurugram +61 other locations,NA
608,KONE,"Work Life Balance, Company Culture, Job Security",Promotions,4.1,1.7k,5.7k,143,48,Industrial Machinery | Chennai +74 other locations,NA
609,NielsenIQ,"Promotions, Skill Development, Salary",,3.5,1.7k,10.6k,235,39,Analytics & KPO | Chennai +55 other locations,NA
610,Yamaha Motor,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.1,1.7k,5.3k,93,--,Automobile | Chennai +154 other locations,NA
611,MagicBricks,"Work Life Balance, Salary, Company Culture",,4.0,1.7k,4.7k,350,14,Internet | Noida +35 other locations,NA
612,Compass Group Support Services,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,1.7k,5.5k,90,32,Facility Management Services | Bengaluru +78 other locations,NA
613,L.G.Balakrishnan & Bros,"Promotions, Salary, Company Culture",,3.5,1.6k,5.8k,85,10,Auto Components | Coimbatore +63 other locations,NA
614,Rane (Madras),"Skill Development, Job Security","Promotions, Salary",3.9,1.6k,4.9k,96,33,Auto Components | Chennai +58 other locations,NA
615,BA Continuum,"Job Security, Work Life Balance, Company Culture",Promotions,3.9,1.6k,10.1k,113,--,IT Services & Consulting | Hyderabad +17 other locations,NA
616,DHL Express,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,1.6k,6.2k,79,--,Logistics | Mumbai +89 other locations,NA
617,Patanjali Foods,"Promotions, Skill Development, Work Satisfaction",,3.7,1.6k,4.5k,107,15,FMCG | Haridwar +239 other locations,NA
618,JSW Bhushan Power & Steel,"Skill Development, Company Culture, Work Life Balance",Promotions,4.0,1.6k,4.9k,81,--,Iron & Steel | Jharsuguda +64 other locations,NA
619,Clover Infotech,"Promotions, Company Culture, Work Satisfaction",,3.4,1.6k,12k,143,131,IT Services & Consulting | Mumbai +23 other locations,NA
620,Tata 1mg,"Promotions, Work Satisfaction, Salary",,3.5,1.6k,7.1k,224,90,Internet | Gurugram +64 other locations,NA
621,Vardhman Fabrics,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",4.0,1.6k,5.2k,82,11,Fashion & Textile | Baddi +65 other locations,NA
622,ReNew,"Job Security, Company Culture, Work Life Balance",,4.2,1.6k,6.5k,144,69,Power | Gurugram +105 other locations,NA
623,CG Power and Industrial Solutions,Promotions,,3.8,1.6k,6.7k,108,1,Electrical Equipment | Bhopal +91 other locations,NA
624,Procter & Gamble,"Company Culture, Skill Development, Work Life Balance",Promotions,4.0,1.6k,5.8k,134,--,FMCG | Mumbai +254 other locations,NA
625,Matrimony.com,"Company Culture, Job Security, Work Life Balance",,3.9,1.6k,4.4k,103,40,Internet | Chennai +63 other locations,NA
626,Belrise Industries,"Promotions, Company Culture",,3.7,1.6k,6.2k,106,10,Auto Components | Pune +56 other locations,NA
627,Johnson & Johnson,"Company Culture, Work Life Balance, Skill Development",Promotions,3.9,1.6k,5.9k,116,46,Healthcare | Mumbai +169 other locations,NA
628,Suryoday Small Finance Bank,"Salary, Company Culture, Work Life Balance",,3.9,1.6k,4.6k,98,28,Banking | Mumbai +232 other locations,NA
629,Arvind Group,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,1.6k,5.3k,81,--,Fashion & Textile | Ahmedabad +91 other locations,NA
630,Wipro Enterprises Ltd,Job Security,"Promotions, Salary",3.8,1.6k,8.3k,208,4,FMCG | Bengaluru +121 other locations,NA
631,Chegg,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",4.1,1.6k,3.9k,167,8,EdTech | New Delhi +78 other locations,NA
632,CMA CGM,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,1.6k,7.9k,101,15,Ports & Shipping | Chennai +37 other locations,NA
633,Toyota Kirloskar Motor,"Company Culture, Job Security, Skill Development",,4.3,1.6k,4.7k,82,12,Automobile | Bengaluru +92 other locations,NA
634,Shriram Life Insurance,"Promotions, Work Satisfaction, Job Security",,3.5,1.6k,4.9k,114,17,Insurance | Hyderabad +330 other locations,NA
635,Krishna Maruti,Job Security,Promotions,3.8,1.6k,5.2k,134,9,Auto Components | Gurugram +53 other locations,NA
636,Goldman Sachs,"Work Life Balance, Job Security, Promotions",,3.4,1.6k,20.9k,417,299,Financial Services | Bengaluru +22 other locations,NA
637,HERE Technologies,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Skill Development",3.8,1.6k,7.9k,112,13,IT Services & Consulting | Mumbai +19 other locations,NA
638,Coronis Ajuba Solutions,"Company Culture, Work Life Balance, Job Security",Promotions,3.9,1.6k,5.8k,93,33,BPO | Chennai +31 other locations,NA
639,Tata Play,"Company Culture, Job Security, Salary",Promotions,4.0,1.6k,4.7k,90,2,Broadcasting | Mumbai +222 other locations,NA
640,Hero Motors Company,Work Life Balance,Promotions,3.9,1.6k,6.2k,99,3,Automobile | Ghaziabad +228 other locations,NA
641,Marico,Promotions,,3.8,1.6k,5.8k,105,32,FMCG | Mumbai +186 other locations,NA
642,Dixon Technologies,Skill Development,Promotions,3.9,1.6k,5.8k,147,15,Electronics Manufacturing | Noida +46 other locations,NA
643,Veritas Finance,"Company Culture, Work Life Balance, Work Satisfaction",,4.3,1.6k,2.4k,90,--,NBFC | Chennai +299 other locations,NA
644,Satin Creditcare Network,"Salary, Work Life Balance, Job Security",,3.9,1.6k,3.1k,65,6,NBFC | Gurugram +330 other locations,NA
645,Godrej Industries Group,"Job Security, Company Culture",Promotions,3.9,1.6k,3.1k,152,2,Real Estate | Mumbai +151 other locations,NA
646,Welspun Living Limited,Skill Development,Promotions,3.9,1.6k,5.1k,91,1,Fashion & Textile | Anjar +86 other locations,NA
647,Teva Pharmaceuticals,Work Life Balance,Promotions,3.9,1.6k,5.7k,120,12,Pharma | Bengaluru +53 other locations,NA
648,Sanofi,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.0,1.6k,5.9k,104,103,Pharma | Hyderabad +92 other locations,NA
649,Emami,"Work Life Balance, Job Security",Promotions,3.8,1.6k,5.3k,107,8,FMCG | Kolkata +169 other locations,NA
650,iOPEX Technologies,"Promotions, Salary, Company Culture",,3.1,1.6k,6.1k,91,46,IT Services & Consulting | Chennai +15 other locations,NA
651,ZF Commercial Vehicle Control Systems,"Promotions, Job Security",,3.8,1.6k,3.8k,84,--,Auto Components | Chennai +49 other locations,NA
652,Wockhardt,Work Life Balance,"Promotions, Salary",3.7,1.6k,4.1k,66,60,Pharma | Chhatrapati Sambhajinagar +83 other locations,NA
653,PharmEasy,"Job Security, Promotions, Work Satisfaction",,3.7,1.6k,6.5k,119,--,Internet | Bengaluru +69 other locations,NA
654,Mercer,Job Security,"Promotions, Work Satisfaction, Skill Development",3.6,1.6k,10k,98,81,Management Consulting | New Delhi +17 other locations,NA
655,Asahi India Glass,"Job Security, Skill Development","Promotions, Salary",3.8,1.6k,5.3k,116,75,Auto Components | Chennai +89 other locations,NA
656,Supreme Industries,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,1.6k,5.8k,100,--,Petrochemicals | Gwalior +124 other locations,NA
657,Urban Company,"Job Security, Promotions, Work Life Balance",,3.3,1.6k,7k,170,127,Internet | Gurugram +59 other locations,NA
658,IndiaFirst Life Insurance,Salary,,3.8,1.6k,3.9k,84,42,Insurance | Mumbai +248 other locations,NA
659,Broadridge Financial Solutions,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",3.8,1.6k,11.1k,163,59,FinTech | Hyderabad +15 other locations,NA
660,Cemindia Projects,"Job Security, Salary, Company Culture",,4.2,1.6k,3.2k,92,3,Engineering & Construction | Kolkata +88 other locations,NA
661,IFB,"Promotions, Company Culture, Work Satisfaction",,3.6,1.6k,5.3k,125,16,Consumer Electronics & Appliances | Bengaluru +178 other locations,NA
662,KFC,"Skill Development, Company Culture, Job Security",,4.0,1.6k,3.1k,86,--,Hospitality | New Delhi +173 other locations,NA
663,Relaxo Footwear,"Work Life Balance, Job Security, Salary",Promotions,4.0,1.6k,4.5k,112,28,Fashion & Textile | New Delhi +159 other locations,NA
664,Kotak Mahindra Prime,"Company Culture, Work Life Balance, Job Security",Promotions,3.9,1.5k,5.3k,73,--,NBFC | Mumbai +177 other locations,NA
665,Marriott International,"Job Security, Company Culture, Skill Development",,4.1,1.5k,4.7k,103,948,Hospitality | Bengaluru +91 other locations,NA
666,Honda,"Company Culture, Work Life Balance, Job Security",,4.1,1.5k,3.8k,114,4,Automobile | Gurugram +229 other locations,NA
667,Labmentix,"Work Life Balance, Skill Development, Company Culture",,4.5,1.5k,33,546,--,Bengaluru +32 other locations,NA
668,Gujarat Fluorochemicals,"Job Security, Work Life Balance",Promotions,3.9,1.5k,6.7k,109,14,Chemicals | Bharuch +31 other locations,NA
669,Amul India,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,1.5k,4.2k,158,--,Food Processing | Ahmedabad +206 other locations,NA
670,Bajaj Capital,"Promotions, Job Security, Work Satisfaction",,3.6,1.5k,3.7k,168,92,Financial Services | New Delhi +171 other locations,NA
671,Lumax Industries,"Job Security, Skill Development",Promotions,3.9,1.5k,5.8k,104,32,Auto Components | Gurugram +42 other locations,NA
672,Muthoot Microfin,"Work Life Balance, Job Security, Skill Development",,4.2,1.5k,2.5k,85,8,NBFC | Kochi +415 other locations,NA
673,American Broadcasting Company,"Company Culture, Work Life Balance, Work Satisfaction",,4.0,1.5k,35.9k,598,4,Engineering & Construction | Bengaluru +98 other locations,NA
674,Nayara Energy,"Work Life Balance, Salary, Job Security",Promotions,4.2,1.5k,6.1k,99,1,Oil & Gas | Jamnagar +98 other locations,NA
675,Dainik Bhaskar Group,"Company Culture, Skill Development, Work Life Balance",,4.1,1.5k,4.3k,83,60,Printing & Publishing | Bhopal +136 other locations,NA
676,Suguna Foods,Company Culture,Promotions,3.9,1.5k,4.2k,97,22,Food Processing | Coimbatore +205 other locations,NA
677,Hinduja Leyland Finance,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.0,1.5k,2.9k,62,10,NBFC | Chennai +298 other locations,NA
678,Patra India,Job Security,"Salary, Promotions, Skill Development",3.5,1.5k,6.2k,119,3,BPO | Visakhapatnam +27 other locations,NA
679,Bisleri,"Work Life Balance, Job Security, Salary",Promotions,4.2,1.5k,4.6k,121,22,Beverage | Mumbai +181 other locations,NA
680,Tata Consumer Products,"Promotions, Company Culture, Work Satisfaction",,3.5,1.5k,5.9k,99,7,FMCG | Bengaluru +226 other locations,NA
681,Karur Vysya Bank,"Promotions, Work Satisfaction, Company Culture",,3.5,1.5k,4.9k,109,15,Banking | Chennai +193 other locations,NA
682,Tesco,Job Security,"Promotions, Work Satisfaction, Salary",3.5,1.5k,9.2k,149,8,Retail | Bengaluru +17 other locations,NA
683,SHYAM METALICS AND ENERGY,"Promotions, Company Culture, Job Security",,3.4,1.5k,4.9k,155,5,Metals & Mining | Kolkata +76 other locations,NA
684,Steel Strips Wheels,"Company Culture, Promotions",,3.8,1.5k,5.5k,89,32,Auto Components | Chennai +50 other locations,NA
685,mPokket,"Company Culture, Work Life Balance, Work Satisfaction",,4.5,1.5k,1.6k,379,7,NBFC | Kolkata +21 other locations,NA
686,Evalueserve,"Promotions, Salary, Work Satisfaction",,3.0,1.5k,10.6k,141,35,Analytics & KPO | Gurugram +15 other locations,NA
687,XL Dynamics,Salary,"Job Security, Company Culture",3.6,1.5k,3.5k,97,10,IT Services & Consulting | Mumbai +31 other locations,NA
688,Oracle Cerner,Work Life Balance,"Promotions, Salary, Skill Development",3.3,1.5k,10.2k,170,--,Software Product | Bengaluru +7 other locations,NA
689,Canara Bank,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",3.6,1.5k,4.1k,52,--,Banking | Bengaluru +227 other locations,NA
690,Piramal Pharma,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,1.5k,6.6k,125,39,Pharma | Mumbai +83 other locations,NA
691,SAI Life Sciences,"Salary, Company Culture",Promotions,3.9,1.5k,6k,110,45,Clinical Research | Hyderabad +26 other locations,NA
692,GE VERNOVA,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.1,1.5k,5.5k,114,218,Power | Bengaluru +84 other locations,NA
693,GMR Group,"Job Security, Work Life Balance, Company Culture",Promotions,3.9,1.5k,4.7k,105,16,Engineering & Construction | New Delhi +75 other locations,NA
694,Page Industries,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,1.5k,4.9k,73,5,Fashion & Textile | Bengaluru +165 other locations,NA
695,HCL Infosystems,"Work Life Balance, Job Security, Company Culture",,4.0,1.5k,6.8k,146,--,IT Services & Consulting | Noida +104 other locations,NA
696,QualityKiosk Technologies,"Promotions, Salary, Work Satisfaction",,3.2,1.5k,11.5k,166,239,IT Services & Consulting | Mumbai +21 other locations,NA
697,Tanishq,"Skill Development, Company Culture, Work Life Balance",Promotions,4.1,1.5k,3.2k,113,--,Jewellery | Kolkata +238 other locations,NA
698,Ashoka Buildcon,"Company Culture, Work Life Balance, Work Satisfaction",,4.1,1.5k,4.2k,81,--,Engineering & Construction | Nashik +155 other locations,NA
699,Sonata Software,"Promotions, Salary, Job Security",,3.4,1.5k,11.9k,142,84,IT Services & Consulting | Bengaluru +17 other locations,NA
700,Devyani International,Skill Development,Promotions,3.8,1.5k,3.5k,71,10,Hospitality | New Delhi +136 other locations,NA
701,Max Fashion,"Job Security, Skill Development, Company Culture",,4.0,1.5k,3.4k,78,11,Retail | Bengaluru +153 other locations,NA
702,Wheelseye Technology,"Job Security, Promotions, Company Culture",,3.4,1.5k,3.9k,119,21,Internet | Gurugram +222 other locations,NA
703,Gland Pharma,"Work Life Balance, Job Security",,4.0,1.5k,5.9k,91,12,Pharma | Hyderabad +35 other locations,NA
704,Honeywell Technology Solutions,"Promotions, Work Satisfaction, Skill Development",,3.7,1.5k,11.4k,165,--,Industrial Automation | Bengaluru +18 other locations,NA
705,V5 Global Services,Work Life Balance,Promotions,3.9,1.5k,3.7k,94,7,Recruitment | New Delhi +216 other locations,NA
706,Chandigarh University,"Company Culture, Work Life Balance, Work Satisfaction",,4.3,1.5k,2.8k,108,70,Education & Training | Chandigarh +47 other locations,NA
707,ISS Facility Services,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,1.5k,4.2k,69,10,Facility Management Services | Mumbai +65 other locations,NA
708,Acuity Analytics,"Promotions, Skill Development, Salary",,3.1,1.5k,12.8k,181,134,Analytics & KPO | Bengaluru +16 other locations,NA
709,Airtel Payments Bank,Promotions,,3.8,1.5k,5.1k,115,30,Banking | Gurugram +335 other locations,NA
710,Valeo,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,1.5k,8.1k,106,164,Auto Components | Chennai +23 other locations,NA
711,Daimler India Commercial Vehicles,"Work Life Balance, Job Security, Company Culture",Promotions,3.9,1.5k,6.8k,76,18,Automobile | Chennai +49 other locations,NA
712,Apco Infratech,"Job Security, Company Culture, Promotions",,3.7,1.5k,4.3k,140,13,Engineering & Construction | Mumbai +95 other locations,NA
713,Aon,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",3.8,1.5k,6.3k,91,38,Management Consulting | Bengaluru +25 other locations,NA
714,Indoco Remedies,"Promotions, Job Security, Company Culture",,3.5,1.5k,5.6k,89,19,Pharma | Mumbai +84 other locations,NA
715,Taurus BPO Services,"Company Culture, Work Life Balance, Work Satisfaction",,4.1,1.5k,982,35,1,BPO | Pune +23 other locations,NA
716,Heritage Foods,"Company Culture, Work Life Balance, Job Security",,4.1,1.4k,3.8k,103,30,Food Processing | Hyderabad +124 other locations,NA
717,Oberoi Group of Hotels,"Job Security, Skill Development, Company Culture",Promotions,4.0,1.4k,3.8k,96,--,Hospitality | New Delhi +39 other locations,NA
718,Amneal Pharmaceuticals,"Work Life Balance, Job Security, Company Culture",,4.2,1.4k,6.2k,85,61,Pharma | Ahmedabad +44 other locations,NA
719,PNB Housing Finance,Promotions,,3.8,1.4k,4.6k,55,--,NBFC | New Delhi +171 other locations,NA
720,NIIT,"Promotions, Salary, Work Satisfaction",,3.5,1.4k,6.1k,108,27,Education & Training | Gurugram +102 other locations,NA
721,Apexon,"Promotions, Job Security, Work Satisfaction",,3.3,1.4k,9.6k,177,36,IT Services & Consulting | Bengaluru +22 other locations,NA
722,SBFC Finance,Salary,,3.8,1.4k,2.8k,101,67,NBFC | Mumbai +217 other locations,NA
723,Happiest Minds Technologies,"Promotions, Salary, Work Satisfaction",,3.4,1.4k,12.6k,152,586,IT Services & Consulting | Bengaluru +17 other locations,NA
724,Narayana Educational Society,"Promotions, Company Culture, Work Life Balance",,3.6,1.4k,4.1k,68,9,Education & Training | Hyderabad +146 other locations,NA
725,Bharat Forge,"Promotions, Salary, Company Culture",,3.8,1.4k,6.4k,80,6,Auto Components | Pune +28 other locations,NA
726,Altimetrik,"Job Security, Promotions, Work Satisfaction",,3.5,1.4k,12.4k,266,76,IT Services & Consulting | Bengaluru +15 other locations,NA
727,Hyatt Regency,"Job Security, Skill Development, Company Culture",,4.0,1.4k,3k,61,2,Hospitality | New Delhi +50 other locations,NA
728,Acmegrade,"Company Culture, Work Satisfaction, Skill Development",,3.9,1.4k,291,69,--,EdTech | Bengaluru +21 other locations,NA
729,Jaquar,"Job Security, Work Life Balance, Company Culture",Promotions,4.1,1.4k,5.1k,88,26,Building Material | Gurugram +117 other locations,NA
730,ALTEN,"Promotions, Skill Development, Work Satisfaction",,3.6,1.4k,8.4k,161,41,IT Services & Consulting | Bengaluru +28 other locations,NA
731,Aumovio,"Work Life Balance, Company Culture","Promotions, Salary",3.8,1.4k,9.4k,82,20,Auto Components | Bengaluru +21 other locations,NA
732,AB InBev India,"Promotions, Work Satisfaction, Job Security",,3.3,1.4k,7.9k,116,99,Beverage | Bengaluru +76 other locations,NA
733,Morningstar,"Work Life Balance, Company Culture","Promotions, Salary, Work Satisfaction",3.7,1.4k,10.4k,265,49,Financial Services | Mumbai +18 other locations,NA
734,Agilus Diagnostics,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,1.4k,3.3k,86,11,Healthcare | Mumbai +136 other locations,NA
735,Sony,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.2,1.4k,4.6k,84,12,Consumer Electronics & Appliances | New Delhi +143 other locations,NA
736,Tieto,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.1,1.4k,9.5k,105,33,IT Services & Consulting | Pune +13 other locations,NA
737,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),"Promotions, Company Culture, Work Satisfaction",,3.6,1.4k,5k,90,--,Auto Components | Pune +47 other locations,NA
738,Indegene,"Promotions, Work Satisfaction, Skill Development",,3.2,1.4k,9.6k,172,10,Analytics & KPO | Bengaluru +33 other locations,NA
739,Fusion Finance,"Company Culture, Work Life Balance, Salary",,3.9,1.4k,3.2k,60,6,NBFC | New Delhi +346 other locations,NA
740,Slk Software Services,"Promotions, Salary, Work Satisfaction",,3.2,1.4k,9.5k,114,58,IT Services & Consulting | Bengaluru +15 other locations,NA
741,Chetu,Skill Development,"Job Security, Company Culture, Work Life Balance",3.7,1.4k,7.3k,232,4,Software Product | Noida +14 other locations,NA
742,Amara Raja Energy & Mobility,"Job Security, Company Culture, Work Life Balance",Promotions,4.0,1.4k,4.1k,110,--,Auto Components | Tirupati +93 other locations,NA
743,Tata Group,"Company Culture, Job Security, Work Life Balance",,4.2,1.4k,5.6k,383,2,IT Services & Consulting | Mumbai +167 other locations,NA
744,Tenarai,"Promotions, Job Security, Salary",,3.5,1.4k,11.1k,136,102,Emerging Technologies | Bengaluru +23 other locations,NA
745,Xiaomi,"Promotions, Job Security",,3.8,1.4k,5.6k,112,4,Consumer Electronics & Appliances | Bengaluru +212 other locations,NA
746,Adobe,Company Culture,"Promotions, Work Satisfaction",3.7,1.4k,13.2k,270,46,Software Product | Bengaluru +22 other locations,NA
747,Vfs Global Services,"Promotions, Salary, Company Culture",,3.4,1.4k,4.3k,72,6,IT Services & Consulting | Mumbai +32 other locations,NA
748,VLCC,"Promotions, Company Culture, Work Life Balance",,3.3,1.4k,3.3k,54,41,Beauty & Personal Care | New Delhi +110 other locations,NA
749,Sansera Engineering,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary",4.0,1.4k,5.6k,97,13,Auto Components | Bengaluru +28 other locations,NA
750,Nykaa,"Promotions, Company Culture, Work Satisfaction",,3.4,1.4k,6.8k,154,13,Internet | Mumbai +115 other locations,NA
751,J. Kumar Infraprojects,"Job Security, Work Life Balance, Company Culture",Promotions,4.1,1.4k,4.5k,94,4,Engineering & Construction | Mumbai +41 other locations,NA
752,IDC Technologies,"Job Security, Promotions, Company Culture",,3.1,1.4k,6.8k,76,--,IT Services & Consulting | Noida +66 other locations,NA
753,DCM Shriram,"Job Security, Work Life Balance, Salary",,4.1,1.4k,4.9k,109,2,Chemicals | Bharuch +108 other locations,NA
754,Unisys,"Promotions, Skill Development, Work Satisfaction",,3.4,1.4k,10.2k,81,27,IT Services & Consulting | Bengaluru +18 other locations,NA
755,AtkinsRealis,Work Life Balance,"Promotions, Work Satisfaction, Salary",3.7,1.4k,6k,109,338,Engineering & Construction | Bengaluru +55 other locations,NA
