,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
0,TCS,Job Security,"Promotions, Salary, Work Satisfaction",3.3,1.1L,10.1L,11.8k,4.4k,IT Services & Consulting | Bengaluru +442 other locations,NA
1,Accenture,"Promotions, Salary, Work Satisfaction",,3.7,73.3k,7L,9.4k,40.9k,IT Services & Consulting | Bengaluru +259 other locations,NA
2,Wipro,"Promotions, Salary, Work Satisfaction",,3.6,65k,4.9L,6.8k,332,IT Services & Consulting | Hyderabad +373 other locations,NA
3,Cognizant,"Promotions, Salary, Work Satisfaction",,3.7,61.4k,6.1L,6.5k,437,IT Services & Consulting | Hyderabad +231 other locations,NA
4,Capgemini,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",3.6,53.3k,4.9L,5.5k,2.1k,IT Services & Consulting | Bengaluru +180 other locations,NA
5,HDFC Bank,"Job Security, Skill Development","Promotions, Salary",3.8,52.3k,1.5L,3k,329,Banking | Mumbai +1849 other locations,NA
6,Infosys,Job Security,"Promotions, Salary, Work Satisfaction",3.5,48.7k,5.3L,8.4k,2.2k,IT Services & Consulting | Bengaluru +244 other locations,NA
7,HCLTech,"Promotions, Salary, Work Satisfaction",,3.4,45.9k,3.9L,4.6k,225,IT Services & Consulting | Chennai +231 other locations,NA
8,ICICI Bank,"Job Security, Promotions, Skill Development",,4.0,45.9k,1.5L,3k,20,Banking | Mumbai +1442 other locations,NA
9,Tech Mahindra,"Promotions, Salary, Work Satisfaction",,3.4,43.2k,2.9L,4.6k,552,IT Services & Consulting | Hyderabad +322 other locations,NA
10,Genpact,Job Security,"Promotions, Salary, Work Satisfaction",3.6,42.2k,2.4L,3.9k,614,Analytics & KPO | Hyderabad +181 other locations,NA
11,TP,"Work Life Balance, Job Security",,3.8,38.4k,99.1k,2.2k,1.6k,BPO | Mumbai +256 other locations,NA
12,Jio,"Job Security, Skill Development, Company Culture",,4.4,33.6k,62.1k,4.4k,1,Telecom | Mumbai +1956 other locations,NA
13,Axis Bank,"Promotions, Work Satisfaction, Company Culture",,3.6,33.1k,1L,2k,245,Banking | Mumbai +1519 other locations,NA
14,Concentrix Corporation,Job Security,"Promotions, Salary, Work Satisfaction",3.6,32.2k,1.3L,2k,11,BPO | Bengaluru +182 other locations,NA
15,Amazon,"Company Culture, Work Life Balance, Salary",Promotions,3.9,31.4k,1.6L,5.9k,2.5k,Internet | Bengaluru +515 other locations,NA
16,Reliance Retail,"Job Security, Skill Development, Work Life Balance",Promotions,3.9,27.3k,75.9k,2k,110,Retail | Mumbai +1159 other locations,NA
17,iEnergizer,"Salary, Company Culture, Work Life Balance",,4.6,27k,24.7k,1.5k,94,BPO | Noida +52 other locations,NA
18,LTIMindtree,"Promotions, Salary, Work Satisfaction",,3.6,26.4k,2L,3.5k,518,IT Services & Consulting | Bengaluru +144 other locations,NA
19,IBM,"Work Life Balance, Company Culture, Job Security",Promotions,3.9,25.8k,2.2L,2.6k,1.7k,IT Services & Consulting | Bengaluru +161 other locations,NA
20,HDB Financial Services,"Work Life Balance, Job Security, Skill Development","Promotions, Salary",3.9,25.6k,50k,1.1k,2.1k,NBFC | Mumbai +1091 other locations,NA
21,Larsen & Toubro Limited,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",3.9,23.8k,76.6k,1.9k,247,Engineering & Construction | Chennai +764 other locations,NA
22,Deloitte,"Promotions, Work Life Balance, Work Satisfaction",,3.7,23.1k,2.6L,3.3k,1.8k,Management Consulting | Hyderabad +182 other locations,NA
23,Kotak Mahindra Bank,"Promotions, Work Satisfaction, Company Culture",,3.6,22.4k,87k,1.4k,164,Banking | Mumbai +691 other locations,NA
24,Reliance Industries,"Job Security, Work Life Balance, Skill Development",Promotions,4.0,20.2k,73.9k,1.6k,78,Oil & Gas | Jamnagar +820 other locations,NA
25,Vodafone Idea,"Salary, Company Culture, Work Life Balance",Promotions,3.9,17.6k,49.1k,696,79,Telecom | Pune +705 other locations,NA
26,Bharti Airtel,Promotions,,3.8,17k,50k,1.1k,165,Telecom | Gurugram +788 other locations,NA
27,BYJU'S,"Job Security, Company Culture, Work Life Balance",,3.2,16.3k,50.7k,2.1k,1,EdTech | Bengaluru +321 other locations,NA
28,WNS,"Promotions, Salary, Work Satisfaction",,3.3,15.2k,71.3k,1.3k,58,IT Services & Consulting | Pune +65 other locations,NA
29,IDFC FIRST Bank,"Salary, Skill Development",,3.9,14.5k,50.2k,969,42,Banking | Mumbai +727 other locations,NA
30,Ernst & Young,"Promotions, Work Life Balance, Work Satisfaction",,3.4,14.5k,1.5L,1.3k,4.5k,Management Consulting | Bengaluru +134 other locations,NA
31,IndusInd Bank,"Promotions, Company Culture, Work Satisfaction",,3.4,14.2k,52.5k,775,149,Banking | Mumbai +796 other locations,NA
32,AU Small Finance Bank,Salary,,3.8,14.2k,29.7k,708,184,Banking | Jaipur +799 other locations,NA
33,Tata Motors,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,14.1k,43k,1.3k,191,Automobile | Pune +506 other locations,NA
34,Muthoot FinCorp,"Company Culture, Skill Development, Work Life Balance",,4.5,13.1k,9.5k,2.4k,46,NBFC | Bengaluru +1121 other locations,NA
35,Bajaj Finserv,"Salary, Skill Development, Job Security",,4.0,13.1k,31.3k,770,2,NBFC | Pune +1192 other locations,NA
36,Flipkart,"Skill Development, Salary",Promotions,3.9,12.9k,56.2k,1.7k,94,Internet | Bengaluru +553 other locations,NA
37,PwC,"Promotions, Work Life Balance, Work Satisfaction",,3.3,12.6k,1.3L,1.6k,1.1k,Management Consulting | Bengaluru +135 other locations,NA
38,Mahindra & Mahindra,"Job Security, Skill Development, Company Culture",Promotions,4.0,12.1k,40.9k,881,2,Automobile | Pune +565 other locations,NA
39,Infosys BPM,Job Security,"Promotions, Salary, Work Satisfaction",3.5,12k,76.8k,1.1k,66,BPO | Bengaluru +95 other locations,NA
40,HDFC Life,Skill Development,,3.9,12k,33.2k,812,88,Insurance | Mumbai +715 other locations,NA
41,DXC Technology,Work Life Balance,"Promotions, Salary, Work Satisfaction",3.6,12k,74.7k,901,176,IT Services & Consulting | Bengaluru +130 other locations,NA
42,Bandhan Bank,"Promotions, Work Satisfaction, Skill Development",,3.7,11.1k,26k,761,3,Banking | Kolkata +1010 other locations,NA
43,Digitide Solutions,"Promotions, Salary, Work Satisfaction",,3.5,10.3k,26.9k,574,329,IT Services & Consulting | Hyderabad +272 other locations,NA
44,Mphasis,"Promotions, Salary, Work Satisfaction",,3.3,10.2k,75.1k,939,65,IT Services & Consulting | Bengaluru +64 other locations,NA
45,Yes Bank,"Job Security, Promotions, Company Culture",,3.7,10.2k,42.7k,562,210,Banking | Mumbai +541 other locations,NA
46,Tata Steel,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,9.9k,34.9k,1.1k,--,Iron & Steel | Jamshedpur +226 other locations,NA
47,Quess,"Promotions, Job Security",,3.8,9.7k,31.4k,547,26,Recruitment | Bengaluru +756 other locations,NA
48,Asian Paints,"Salary, Skill Development, Job Security",Promotions,3.9,9.6k,26.1k,869,75,Chemicals | Mumbai +556 other locations,NA
49,Maruti Suzuki,"Job Security, Salary, Company Culture",,4.1,9.5k,28.8k,795,746,Automobile | Gurugram +457 other locations,NA
50,Startek,"Promotions, Work Satisfaction, Salary",,3.0,9.5k,25k,645,285,BPO | Bengaluru +103 other locations,NA
51,UltraTech Cement,"Job Security, Skill Development, Company Culture",,4.2,9.4k,25.1k,807,32,Building Material | Mumbai +538 other locations,NA
52,Paytm,"Job Security, Promotions, Company Culture",,3.2,9.3k,34.7k,903,680,FinTech | Noida +422 other locations,NA
53,Bajaj Finance,"Salary, Skill Development, Job Security",,3.9,9.2k,23.1k,444,4.8k,NBFC | Pune +994 other locations,NA
54,Shriram Finance,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,9.1k,15.5k,455,11,NBFC | Chennai +1118 other locations,NA
55,Sutherland Global Services,"Promotions, Skill Development, Salary",,3.4,9k,35.6k,805,271,BPO | Chennai +82 other locations,NA
56,Equitas Small Finance Bank,"Job Security, Company Culture, Work Life Balance",,4.3,8.9k,13.8k,1k,37,Banking | Chennai +485 other locations,NA
57,Wells Fargo,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3.6,8.7k,62.7k,695,138,Financial Services | Bengaluru +27 other locations,NA
58,EXL Service,Job Security,"Promotions, Salary, Skill Development",3.6,8.6k,45.4k,921,1.7k,Analytics & KPO | Noida +61 other locations,NA
59,Cipla,"Salary, Work Life Balance, Skill Development",,4.1,8.6k,26.6k,602,19,Pharma | Mumbai +294 other locations,NA
60,Ericsson,"Work Life Balance, Company Culture","Promotions, Salary",3.9,8.4k,43k,476,37,Telecom | Noida +160 other locations,NA
61,Samsung,Salary,Promotions,3.9,8.3k,26.5k,633,38,Consumer Electronics & Appliances | Noida +581 other locations,NA
62,Dr. Reddy's,"Company Culture, Work Life Balance, Skill Development",Promotions,4.0,8.2k,26k,518,18,Pharma | Hyderabad +214 other locations,NA
63,Optum Global Solutions,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,8k,51k,779,158,IT Services & Consulting | Hyderabad +68 other locations,NA
64,JSW Steel,"Job Security, Skill Development",Promotions,3.9,7.9k,31.7k,842,107,Iron & Steel | Ballari +198 other locations,NA
65,JPMorgan Chase & Co.,Job Security,Promotions,3.8,7.8k,91.1k,883,649,Financial Services | Bengaluru +55 other locations,NA
66,Delhivery,Promotions,,3.8,7.8k,21.8k,618,215,Logistics | Gurugram +760 other locations,NA
67,ICICI Prudential Life Insurance,"Job Security, Salary, Skill Development",,3.9,7.8k,22.8k,489,356,Insurance | Mumbai +510 other locations,NA
68,Hexaware Technologies,"Promotions, Salary, Work Satisfaction",,3.4,7.7k,55.3k,831,395,IT Services & Consulting | Chennai +69 other locations,NA
69,Ujjivan Small Finance Bank,"Company Culture, Work Life Balance, Job Security",,4.0,7.6k,13.2k,330,96,Banking | Bengaluru +542 other locations,NA
70,Jana Small Finance Bank,Salary,Promotions,3.7,7.6k,14.5k,307,57,Banking | Bengaluru +422 other locations,NA
71,Sun Pharmaceutical Industries,"Salary, Job Security, Skill Development",,4.1,7.6k,23.2k,680,372,Pharma | Vadodara +264 other locations,NA
72,HGS,"Promotions, Salary",,3.7,7.6k,20.6k,277,14,Emerging Technologies | Bengaluru +122 other locations,NA
73,Amazon Development Centre India,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",3.8,7.5k,39.7k,895,6,Internet | Hyderabad +147 other locations,NA
74,Zydus Lifesciences,"Salary, Skill Development",,4.0,7.5k,20.2k,483,48,Pharma | Ahmedabad +181 other locations,NA
75,Ekart Logistics,Skill Development,Promotions,3.9,7.4k,16.9k,412,--,Logistics | Bengaluru +739 other locations,NA
76,Lupin,"Company Culture, Skill Development, Work Life Balance",Promotions,4.1,7.4k,22.5k,448,40,Pharma | Pune +203 other locations,NA
77,KPMG India,"Promotions, Work Life Balance, Work Satisfaction",,3.4,7.3k,68.3k,942,103,Management Consulting | Bengaluru +112 other locations,NA
78,L&T Construction,"Job Security, Skill Development, Salary","Work Life Balance, Promotions",4.0,7.3k,19.2k,953,--,Engineering & Construction | Chennai +435 other locations,NA
79,Axis Max Life Insurance,"Skill Development, Company Culture, Work Life Balance",,4.0,7.2k,20.5k,417,185,Insurance | New Delhi +507 other locations,NA
80,Hindustan Unilever,"Skill Development, Company Culture, Work Life Balance",Promotions,4.2,7.2k,20.4k,475,14,FMCG | Mumbai +542 other locations,NA
81,ITC,"Job Security, Skill Development",Promotions,3.9,7.2k,25k,705,80,FMCG | Bengaluru +378 other locations,NA
82,Megha Engineering & Infrastructures,Work Life Balance,Promotions,3.9,6.9k,18.8k,580,21,Engineering & Construction | Hyderabad +408 other locations,NA
83,Coforge,"Promotions, Work Satisfaction, Skill Development",,3.3,6.9k,51.5k,744,123,IT Services & Consulting | Noida +103 other locations,NA
84,Tata Projects,"Salary, Company Culture, Work Life Balance",,4.2,6.8k,22.8k,625,45,Engineering & Construction | Mumbai +284 other locations,NA
85,Bajaj Life Insurance,Salary,,3.8,6.6k,17.8k,452,62,Insurance | Pune +617 other locations,NA
86,Cholamandalam Investment & Finance,Salary,Promotions,3.8,6.6k,13.2k,296,30,Financial Services | Chennai +863 other locations,NA
87,L&T Technology Services,"Promotions, Salary, Work Satisfaction",,3.1,6.6k,44.5k,634,--,IT Services & Consulting | Bengaluru +95 other locations,NA
88,FIS,Work Life Balance,"Promotions, Job Security, Skill Development",3.8,6.6k,39.3k,543,209,FinTech | Pune +59 other locations,NA
89,Oracle,Work Life Balance,"Promotions, Salary, Work Satisfaction",3.4,6.5k,64.8k,958,37,Software Product | Bengaluru +56 other locations,NA
90,Omega Healthcare,"Promotions, Salary",,3.8,6.4k,27.8k,559,169,BPO | Chennai +70 other locations,NA
91,JLL,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,6.4k,25k,497,309,Real Estate | Gurugram +87 other locations,NA
92,Muthoot Finance,"Promotions, Work Satisfaction",,3.7,6.4k,13.2k,360,157,NBFC | Bengaluru +793 other locations,NA
