id,name,country,height,weight,team
349987,G. Kuol,Australia,175,68,Newcastle
394165,S. Neave,England,,,Newcastle
401389,T. Sanusi,England,178,60,Newcastle
1150,T. Adams,USA,175,72,Bournemouth
2273,Kepa,Spain,189,84,Bournemouth
6610,M. Senesi,Argentina,185,80,Bournemouth
18860,M. Travers,Republic of Ireland,191,82,Bournemouth
18866,C. Mepham,Wales,193,88,Bournemouth
18869,A. Smith,England,180,78,Bournemouth
18883,D. Solanke,England,187,80,Bournemouth
19356,E. Marcondes,Denmark,182,75,Bournemouth
19804,K. Moore,Wales,196,89,Bournemouth
20093,J. Hill,England,184,73,Bournemouth
30765,I. Radu,Romania,188,70,Bournemouth
51051,J. Araujo,Mexico,175,70,Bournemouth
94360,A. Paulsen,New Zealand,193,82,Bournemouth
151756,W. Dennis,England,188,84,Bournemouth
206254,M. Kerkez,Hungary,180,71,Bournemouth
284797,D. Ouattara,Burkina Faso,177,71,Bournemouth
359942,M. Akinmboni,USA,191,77,Bournemouth
363333,J. Soler,Argentina,170,63,Bournemouth
394710,C. McKenna,Scotland,188,76,Bournemouth
792,J. Kluivert,Netherlands,171,67,Bournemouth
1125,R. Christie,Scotland,178,70,Bournemouth
2734,P. Billing,Denmark,193,83,Bournemouth
18870,D. Brooks,Wales,173,62,Bournemouth
18872,L. Cook,England,175,71,Bournemouth
19245,M. Tavernier,England,178,70,Bournemouth
19281,A. Semenyo,Ghana,185,79,Bournemouth
19482,J. Rothwell,England,185,77,Bournemouth
31057,H. Traorè,Côte d'Ivoire,184,77,Bournemouth
37161,L. Sinisterra,Colombia,172,60,Bournemouth
47499,E. Ünal,Türkiye,187,78,Bournemouth
84082,R. Faivre,France,180,75,Bournemouth
152856,Evanilson,Brazil,183,80,Bournemouth
196855,J. Anthony,England,183,,Bournemouth
296458,D. Jebbison,Canada,190,69,Bournemouth
298060,Z. Silcott-Duberry,England,183 cm,73 kg,Bournemouth
304853,A. Scott,England,178,68,Bournemouth
382160,D. Adu-Adjei,England,177,68,Bournemouth
402432,Ben Winterburn,England,185,75,Bournemouth
402434,Remy Rees-Dottin,England,174,76,Bournemouth
912,Neto,Brazil,190 cm,84 kg,Bournemouth
18815,R. Fredericks,England,181 cm,74 kg,Bournemouth
19070,M. Aarons,England,178,69,Bournemouth
19229,D. Randolph,Republic of Ireland,188 cm,98 kg,Bournemouth
130416,G. Kilkenny,Republic of Ireland,170,,Bournemouth
161671,I. Zabarnyi,Ukraine,189,80,Bournemouth
334725,D. Sadi,England,174 cm,65 kg,Bournemouth
361497,D. Huijsen,Netherlands,195,87,Bournemouth
382166,C. Plain,England,,,Bournemouth
382170,M. Kinsey-Wellings,England,184 cm,76 kg,Bournemouth
449224,Archie Harris,England,166,57,Bournemouth
190,Cédric Soares,Portugal,172,67,Arsenal
1161,E. Smith Rowe,England,182,79,Arsenal
1452,Mohamed Elneny,Egypt,179,72,Arsenal
1468,E. Nketiah,England,175,72,Arsenal
